Vendor Name,Author,Unnamed: 2
100 Queen’s Gate,100queensgate,
100 Wardour St,100wardourst,
116 Pall Mall,116pallmall,
"28-50 Wine Workshop & Kitchen, Chelsea",2850chelsea,
Adams Photography,adams.wedding.photography,
Aeronaut,aeronautacton,
Albion House Hotel,albionhouseramsgate,
Alexander House,_alexanderhouse,
Alexandra Palace,yourallypally,
All Bar One New Oxford Street,allbarone,
All Points East,allpointseastuk,
All Star Lanes Brick Lane,allstarlanes,
Allora Hall,allorahall,
Alwyne Castle,alwyne_castle,
Amazing Grace,amazinggraceldn,
Amp Studios,maverickprojects,
Andaz London Liverpool Street,andazlondon,
Angel London N6,theangelhighgate,
Angela Coomey,angelacoomey,
Apex Temple Court,apexhotels,
Aquavit,aquavitlondon,
Aspen And Meursault,bar_aspen,
Badger Badger/Tanuki Gaming,pubbadgerbadger,
Bamford Haybarn Spa,bamfordhaybarnspa,
BAPS Shri Swaminarayan Mandir,neasdentemple,
Barbican Centre,barbicancentre,
Benson & Clegg – London,bensonandclegg,
Betty,bettychiswick,
Bistro Restaurant,hotelduvin,
Blingo – Hip Hop Bingo,hip_hop_bingo,
Bond Street,bondstreet,
Borough Market,boroughmarket,
"Bounce, Old Street",bouncepingpong,
Bourne & Hollingsworth,bourneandhollingsworth,
Brixton Village,brixton.village,
Broadway Bar And Grill,fulhambroadwaybar,
Broadway Market – A Working Victorian Street Market,broadwaymarket,
BST Hyde Park,Import the author,
Bunch Of Grapes,thegrapesboa,
Burlock,burlocklondon,
Cafe Route,caferoute,
Camden Market – Est. 1974,camdenmarketldn,
Chocolate Factory Experience,chocolatefactoryexperience,
Cin Cin,cincinuk,
Circa Embankment,circa_embankment,
Clays,clays_bar,
Cliveden House,clivedenhouse,
Coach and Horses,thecoachse10,
Cock Tavern,cocktavern,
Coin Laundry,coinlaundryem,
COLAB Theatre Productions,colabtheatre,
Columbia Road Flower Market,columbia_road_flower_market,
Colwall Park,colwallpark,
Community Festival,communityLDN,
Comptoir Libanais Poland Street,comptoirlibanais,
Cool Places UK,coolplacesuk,
Coopers Arms,coopersarmssw3,
County Arms,thecountyarms,
Crispin,crispin_e1,
Crossness Engines,crossnesset,
Crown & Anchor NW1,crownandanchorham,
Crystal Palace Park Trust,crystalpalaceparktrust,
Cue Point,cuepointldn,
Dancebuzz,dancebuzzuk,
Daniel Galvin,danielgalvinjr,
Darkfield,darkfield_org,
Daunt Books,dauntbooks,
Davy’S At Canary Wharf,davysoflondon,
De Vere Tortworth Court,tortworth_court_weddings,
Dial Arch,dialarchpub,
Discover Northern Ireland,discoverni,
Donnington Valley Hotel,donningtonvalley,
Dove,the_dove_hammersmith,
Duke Of Kent,dukeofkentw13,
Dumpling Shack Group,dumplingshack,
Duo,duolondon,
EartH,earthackney,
Eastern Electrics,easternelectrics,
